path,DLH,RESEL
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0585889,79.1615
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-3.6_stat-residuals.nii.gz,0.309664,14.9775
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.144954,31.9963
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0251974,184.066
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-7.2_stat-residuals.nii.gz,0.0367178,126.315
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0200473,231.352
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0172532,268.819
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.342782,13.5304
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0171341,270.687
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-4.8_stat-residuals.nii.gz,0.13727,33.7873
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0246927,187.828
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0195485,237.255
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0236476,196.129
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.077629,59.7455
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.028034,165.441
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.126231,36.7419
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0235263,197.141
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0707121,65.5897
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-3.6_stat-residuals.nii.gz,0.280484,16.5357
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0740684,62.6176
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt1_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.032433,143.002
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-7.2_stat-residuals.nii.gz,0.0329477,140.768
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.309344,14.993
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0757102,61.2597
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.0416778,111.282
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.329702,14.0672
