path,DLH,RESEL
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-5.0_stat-residuals.nii.gz,0.12718,36.4678
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0615616,75.3389
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-3.0_stat-residuals.nii.gz,0.235342,19.7074
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0529878,87.5294
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-7.0_stat-residuals.nii.gz,0.0386674,119.946
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-FixMod_fwhm-7.0_stat-residuals.nii.gz,0.0237966,194.901
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0452312,102.539
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-7.0_stat-residuals.nii.gz,0.0382534,121.244
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-AntMod_fwhm-7.0_stat-residuals.nii.gz,0.0505769,91.7016
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0789915,58.715
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt1_mod-FixMod_fwhm-4.0_stat-residuals.nii.gz,0.104754,44.2752
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-CueMod_fwhm-5.0_stat-residuals.nii.gz,0.0698381,66.4106
