subject	model	motion	con	eff_est
sub-16	AntMod	opt1	Lgain-Neut	10.045767278682074
sub-16	AntMod	opt2	Lgain-Neut	9.321730110524491
sub-16	AntMod	opt3	Lgain-Neut	8.858993609618265
sub-16	AntMod	opt4	Lgain-Neut	8.830591971234691
sub-16	CueMod	opt1	Lgain-Neut	2.893830003415439
sub-16	CueMod	opt2	Lgain-Neut	2.6659637375621585
sub-16	CueMod	opt3	Lgain-Neut	2.505086507823679
sub-16	CueMod	opt4	Lgain-Neut	2.4941969193742644
sub-16	FixMod	opt1	Lgain-Neut	3.1223087946780677
sub-16	FixMod	opt2	Lgain-Neut	2.8984334055819287
sub-16	FixMod	opt3	Lgain-Neut	2.7463261650628352
sub-16	FixMod	opt4	Lgain-Neut	2.73969288221813
sub-02	AntMod	opt1	Lgain-Neut	10.39579767552977
sub-02	AntMod	opt2	Lgain-Neut	9.980423322104409
sub-02	AntMod	opt3	Lgain-Neut	9.16491673401293
sub-02	AntMod	opt4	Lgain-Neut	9.021829190063201
sub-02	CueMod	opt1	Lgain-Neut	3.1482467136255057
sub-02	CueMod	opt2	Lgain-Neut	2.9264454965795728
sub-02	CueMod	opt3	Lgain-Neut	2.7148760728371517
sub-02	CueMod	opt4	Lgain-Neut	2.673637590779152
sub-02	FixMod	opt1	Lgain-Neut	3.014216671783553
sub-02	FixMod	opt2	Lgain-Neut	2.9358801527689002
sub-02	FixMod	opt3	Lgain-Neut	2.7150739574091123
sub-02	FixMod	opt4	Lgain-Neut	2.6816904387494778
sub-108	AntMod	opt1	Lgain-Neut	10.098728261225862
sub-108	AntMod	opt2	Lgain-Neut	8.779542216701234
sub-108	AntMod	opt3	Lgain-Neut	7.744886170444403
sub-108	AntMod	opt4	Lgain-Neut	7.534921652422497
sub-108	CueMod	opt1	Lgain-Neut	2.985452567664863
sub-108	CueMod	opt2	Lgain-Neut	2.5896549434151814
sub-108	CueMod	opt3	Lgain-Neut	2.2904870916528624
sub-108	CueMod	opt4	Lgain-Neut	2.2253423152798932
sub-108	FixMod	opt1	Lgain-Neut	2.929445540735252
sub-108	FixMod	opt2	Lgain-Neut	2.648562386036579
sub-108	FixMod	opt3	Lgain-Neut	2.352924440835863
sub-108	FixMod	opt4	Lgain-Neut	2.311321898749952
sub-65	AntMod	opt1	Lgain-Neut	10.068756027860637
sub-65	AntMod	opt2	Lgain-Neut	8.882814935004856
sub-65	AntMod	opt3	Lgain-Neut	8.276536953088815
sub-65	AntMod	opt4	Lgain-Neut	8.163722120728828
sub-65	CueMod	opt1	Lgain-Neut	2.8647242732073273
sub-65	CueMod	opt2	Lgain-Neut	2.544865343142038
sub-65	CueMod	opt3	Lgain-Neut	2.3664249199111866
sub-65	CueMod	opt4	Lgain-Neut	2.314631508041362
sub-65	FixMod	opt1	Lgain-Neut	3.0543260441511646
sub-65	FixMod	opt2	Lgain-Neut	2.7272208142714742
sub-65	FixMod	opt3	Lgain-Neut	2.5273600101938953
sub-65	FixMod	opt4	Lgain-Neut	2.496613788503116
sub-89	AntMod	opt1	Lgain-Neut	11.980147305808046
sub-89	AntMod	opt2	Lgain-Neut	11.430518039559026
sub-89	AntMod	opt3	Lgain-Neut	11.041180194812071
sub-89	AntMod	opt4	Lgain-Neut	10.178547675704115
sub-89	CueMod	opt1	Lgain-Neut	3.5200482435276266
sub-89	CueMod	opt2	Lgain-Neut	3.3439906805865225
sub-89	CueMod	opt3	Lgain-Neut	3.2489657642334304
sub-89	CueMod	opt4	Lgain-Neut	2.974815440361642
sub-89	FixMod	opt1	Lgain-Neut	3.3541430895436957
sub-89	FixMod	opt2	Lgain-Neut	3.1887499103109294
sub-89	FixMod	opt3	Lgain-Neut	3.0347266058956035
sub-89	FixMod	opt4	Lgain-Neut	2.8300655338153655
sub-58	AntMod	opt1	Lgain-Neut	10.027686424237054
sub-58	AntMod	opt2	Lgain-Neut	8.992615444081563
sub-58	AntMod	opt3	Lgain-Neut	8.308631271445517
