con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	2.396	1.577
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	1.421	0.932
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.972	0.656
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.731	0.518
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.585	0.438
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	4.163	2.831
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	2.56	1.654
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	1.798	1.147
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	1.371	0.895
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	1.103	0.751
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	3.085	2.128
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	1.807	1.25
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	1.235	0.881
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.928	0.694
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.739	0.582
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	1.712	1.26
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.971	0.697
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.639	0.448
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.464	0.326
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.362	0.262
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	3.259	2.349
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	1.883	1.303
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	1.255	0.849
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.908	0.622
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.694	0.496
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	2.092	1.627
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	1.151	0.883
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.751	0.58
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.553	0.438
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.441	0.363
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	1.427	0.991
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.771	0.51
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.48	0.3
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.328	0.194
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.241	0.136
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	2.752	2.003
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	1.52	1.087
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.962	0.677
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.662	0.466
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.485	0.348
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	1.853	1.392
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.974	0.719
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.612	0.443
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.431	0.308
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.327	0.232
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	1.452	1.035
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.78	0.528
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.484	0.306
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.329	0.196
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.24	0.136
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	2.72	1.895
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	1.492	0.999
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.934	0.608
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.636	0.413
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.461	0.307
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	1.775	1.319
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.905	0.656
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.555	0.392
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.384	0.267
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.29	0.199
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.6	0.891	0.496
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.8	0.547	0.297
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.374	0.209
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.271	0.163
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.204	0.135
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	3.162	1.786
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	1.985	1.094
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	1.378	0.786
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	1.009	0.622
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.77	0.521
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	2.726	1.625
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	1.597	0.948
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	1.06	0.649
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.756	0.496
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.566	0.408
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.659	0.389
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.8	0.38	0.212
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.249	0.138
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.2	0.175	0.102
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-8.4	0.128	0.082
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.6	2.119	1.341
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.8	1.215	0.727
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.794	0.472
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.2	0.558	0.35
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-8.4	0.414	0.283
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.6	2.227	1.354
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.8	1.268	0.745
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.826	0.49
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.2	0.581	0.364
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-8.4	0.433	0.294
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.492	0.312
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.257	0.159
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.156	0.097
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.103	0.067
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.072	0.051
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	1.655	1.085
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.869	0.545
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.528	0.322
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.351	0.218
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.249	0.164
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	1.659	1.04
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.858	0.534
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.517	0.329
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.342	0.231
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.241	0.177
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.489	0.319
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.258	0.163
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.158	0.1
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.106	0.069
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.075	0.053
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	1.66	1.118
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.877	0.567
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.536	0.341
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.36	0.235
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.259	0.179
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	1.639	1.042
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.848	0.533
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.514	0.327
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.342	0.228
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.243	0.173
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	2.356	1.483
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	1.412	0.899
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.964	0.634
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.718	0.498
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.566	0.418
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	4.299	3.363
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	2.738	2.106
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	2.021	1.507
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	1.609	1.18
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	1.335	0.977
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	2.811	1.898
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	1.72	1.16
