con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.153	0.097
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.172	0.113
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.171	0.118
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.163	0.123
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.151	0.128
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.13	0.142
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.158	0.176
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.174	0.199
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.179	0.219
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.177	0.236
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.156	0.076
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.19	0.074
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.207	0.08
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.217	0.094
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.222	0.11
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.138	0.011
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.181	0.013
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.193	0.005
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.191	0.001
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.186	0.008
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.138	0.093
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.186	0.095
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.223	0.094
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.241	0.1
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.242	0.114
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.119	-0.041
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.158	-0.065
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.184	-0.066
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.212	-0.042
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.245	-0.001
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.153	0.026
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.212	0.033
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.245	0.024
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.256	0.005
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.253	-0.015
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.06	0.112
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.095	0.129
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.13	0.137
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.157	0.146
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.175	0.161
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.163	-0.01
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.226	-0.038
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.266	-0.055
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.283	-0.057
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.289	-0.052
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.13	0.025
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.178	0.026
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.211	0.01
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.226	-0.016
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.227	-0.044
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.043	0.103
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.075	0.109
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.111	0.111
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.142	0.118
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.166	0.136
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.117	-0.043
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.157	-0.089
