mask	con	motion	model	fwhm	median_est
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.212
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.239
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.255
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.265
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.271
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.35
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.398
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.431
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.45
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.46
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.244
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.286
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.316
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.342
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.363
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.18
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.213
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.237
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.253
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.263
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.349
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.404
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.444
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.47
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.487
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.244
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.29
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.326
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.352
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.372
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.152
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.176
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.195
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.209
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.218
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.334
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.388
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.427
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.454
