con	fwhm	motion	model	jaccard	spearman	run1_icc_cohensd	run2_icc_cohensd
Lgain-Neut	3.6	opt1	CueMod	0.08724136654698894	0.4410884555016973	0.17135249693813864	0.2375906143955673
Lgain-Neut	3.6	opt1	AntMod	0.1055582142612976	0.46206995538562967	0.1760708291574911	0.24642287993923057
Lgain-Neut	3.6	opt1	FixMod	0.10580000598247136	0.461790801903158	0.1567563812910138	0.20588460787505863
Lgain-Neut	3.6	opt2	CueMod	0.0985965326099776	0.4236434577904641	0.18460251758223958	0.20488863156594966
Lgain-Neut	3.6	opt2	AntMod	0.10521823251579127	0.47970771011593216	0.18508334949456598	0.21914153529545896
Lgain-Neut	3.6	opt2	FixMod	0.08987835797510184	0.500358217662058	0.16316317767566327	0.18078151715621757
Lgain-Neut	3.6	opt3	CueMod	0.10279424216765452	0.46031311621548154	0.18116345524162714	0.1741516721214193
Lgain-Neut	3.6	opt3	AntMod	0.10381986785015455	0.4870109858065306	0.17582109363107906	0.19941639185071447
Lgain-Neut	3.6	opt3	FixMod	0.0888342176245665	0.4839278338164884	0.15455079570438218	0.18650719769074392
Lgain-Neut	3.6	opt4	CueMod	0.09915399472266805	0.4659080005793553	0.17703922711149864	0.16901154879353145
Lgain-Neut	3.6	opt4	AntMod	0.1031969060404552	0.4970363368359433	0.17442348212781422	0.19003063526895014
Lgain-Neut	3.6	opt4	FixMod	0.089959477712742	0.49037511860127914	0.1483610724014382	0.17167594726217672
Lgain-Neut	4.8	opt1	CueMod	0.12582781456953643	0.5109118779283451	0.1913326317097751	0.2627532272935625
Lgain-Neut	4.8	opt1	AntMod	0.14262743206303263	0.5369878154154917	0.2026822342684054	0.2857656274355839
Lgain-Neut	4.8	opt1	FixMod	0.1413194032213384	0.5357116267339598	0.16807498072039126	0.22268467571547443
Lgain-Neut	4.8	opt2	CueMod	0.12839345858864584	0.48210895369414825	0.19008370961470844	0.20582229212781325
Lgain-Neut	4.8	opt2	AntMod	0.13764166111132897	0.5556619550408879	0.1982690588114785	0.23060225071408094
Lgain-Neut	4.8	opt2	FixMod	0.11937990416006415	0.5903870246742186	0.1743360117511131	0.1797958943297293
Lgain-Neut	4.8	opt3	CueMod	0.1360251182202822	0.5362774857696071	0.18753424652629394	0.16786148021947261
Lgain-Neut	4.8	opt3	AntMod	0.13908749451848462	0.5693593756745815	0.1810514676934468	0.20900776103220572
Lgain-Neut	4.8	opt3	FixMod	0.11872528585620508	0.57178235258794	0.15939539312671874	0.20013323074260236
Lgain-Neut	4.8	opt4	CueMod	0.134873941830656	0.5465143369392896	0.1837707872089559	0.16104265334522247
Lgain-Neut	4.8	opt4	AntMod	0.1400359066427289	0.5849558780447013	0.18074239105867093	0.19493801661460713
Lgain-Neut	4.8	opt4	FixMod	0.12361100165497675	0.5835039603219364	0.1532270855715842	0.17986090822085585
Lgain-Neut	6.0	opt1	CueMod	0.1605482332012614	0.5567598938054238	0.20146964749948132	0.28435361987980134
Lgain-Neut	6.0	opt1	AntMod	0.17457444216242557	0.5886914670826824	0.22539451558163476	0.3204909786556481
Lgain-Neut	6.0	opt1	FixMod	0.1703534912625956	0.5889138793328319	0.17813075932907005	0.22903208218867602
Lgain-Neut	6.0	opt2	CueMod	0.1528329631136001	0.521365418190052	0.1835833926489076	0.20195300661416798
Lgain-Neut	6.0	opt2	AntMod	0.16459562857735993	0.6097115607178388	0.2079467555911951	0.2396337318274652
Lgain-Neut	6.0	opt2	FixMod	0.142824630527858	0.6576321399228616	0.18678868520337544	0.17735250512491652
Lgain-Neut	6.0	opt3	CueMod	0.16518900798376782	0.5893714168999552	0.18453472395403797	0.15521640606113837
Lgain-Neut	6.0	opt3	AntMod	0.16467320120327592	0.6276723610329157	0.18409561792347823	0.21703792857538326
Lgain-Neut	6.0	opt3	FixMod	0.14531140248185437	0.6362506401420461	0.1624282258932333	0.21224805438207006
Lgain-Neut	6.0	opt4	CueMod	0.16579441098054706	0.6034697979315186	0.1831182989049194	0.1461804661704048
Lgain-Neut	6.0	opt4	AntMod	0.17126542121959817	0.6483341185307389	0.18503244237134597	0.1971830371797661
Lgain-Neut	6.0	opt4	FixMod	0.1526099672092405	0.6532206037161662	0.15639656708433897	0.1856755810012545
Lgain-Neut	7.2	opt1	CueMod	0.18785090053740364	0.5864311537439348	0.20731076393930933	0.30938718377759417
Lgain-Neut	7.2	opt1	AntMod	0.20222686938337198	0.622299897846172	0.24516759883960149	0.3525025335769943
Lgain-Neut	7.2	opt1	FixMod	0.19434072554188986	0.6251257018102135	0.18915781000857798	0.2297886759448843
Lgain-Neut	7.2	opt2	CueMod	0.17604260720501444	0.5484894924460881	0.1733726236057574	0.20519800216611245
Lgain-Neut	7.2	opt2	AntMod	0.1913412936781188	0.6466642233480744	0.217864332449989	0.25272507928421556
Lgain-Neut	7.2	opt2	FixMod	0.1639725536026289	0.7036646204976899	0.20157660764963195	0.17824819534252834
Lgain-Neut	7.2	opt3	CueMod	0.19351826826211946	0.6262592229199122	0.1797149640005001	0.14598479660615
Lgain-Neut	7.2	opt3	AntMod	0.19227066918606722	0.6679609889956962	0.18917330322990716	0.2313883516683446
Lgain-Neut	7.2	opt3	FixMod	0.16447314352803052	0.6809004022746598	0.1686335735207622	0.2306501718007865
Lgain-Neut	7.2	opt4	CueMod	0.19660956671210952	0.6434041231314584	0.18263495540192232	0.13435545682571332
Lgain-Neut	7.2	opt4	AntMod	0.20434034483969518	0.6925117831989237	0.19191534138572355	0.2055556673237725
Lgain-Neut	7.2	opt4	FixMod	0.17655862126305036	0.7020275717588609	0.1627986693656438	0.19684860359743234
Lgain-Neut	8.4	opt1	CueMod	0.21292190476190476	0.6075077294814643	0.21405784610186185	0.33652478802586144
Lgain-Neut	8.4	opt1	AntMod	0.21885337585378045	0.6438483192680464	0.2637084113011192	0.3808843096808195
Lgain-Neut	8.4	opt1	FixMod	0.21026250100652227	0.6487713755928145	0.2004290293941807	0.2257967921265543
Lgain-Neut	8.4	opt2	CueMod	0.19812731044233017	0.5692391920061846	0.1649529201677819	0.21730805753671723
Lgain-Neut	8.4	opt2	AntMod	0.21584838463495296	0.6718577121940861	0.22921954189138619	0.2698322716977831
Lgain-Neut	8.4	opt2	FixMod	0.18176881226734598	0.7335519152362133	0.21664530314929067	0.18190735224818474
Lgain-Neut	8.4	opt3	CueMod	0.21753176358353932	0.6534367265168379	0.17709121531260358	0.1446899889935122
Lgain-Neut	8.4	opt3	AntMod	0.21588295028288398	0.6961104056110099	0.19627742304580623	0.252139593087585
Lgain-Neut	8.4	opt3	FixMod	0.18019585425262216	0.7112947012225681	0.17655660399745304	0.25412220669480495
Lgain-Neut	8.4	opt4	CueMod	0.22026339482004145	0.672888548790683	0.1856132946196158	0.13049688088648886
Lgain-Neut	8.4	opt4	AntMod	0.23093945292490523	0.7235782284787549	0.20095085013378067	0.2211432127117437
Lgain-Neut	8.4	opt4	FixMod	0.19700963918459338	0.7352000479117294	0.17117102912730434	0.21351171367172103
Sgain-Neut	3.6	opt1	CueMod	0.046871041297187735	0.31591359592390805	0.00285322258407229	0.028848725314589034
Sgain-Neut	3.6	opt1	AntMod	0.029496215087444533	0.29885819886599113	0.018324991932438597	0.07067631334571445
Sgain-Neut	3.6	opt1	FixMod	0.012580109185853311	0.26420381640698176	0.04662211731050839	0.09254715970559112
Sgain-Neut	3.6	opt2	CueMod	0.04416463070851343	0.26670434402135046	-0.00047879686538809276	0.028293570917889865
Sgain-Neut	3.6	opt2	AntMod	0.02602508893465643	0.27140838873202383	0.016792656808920215	0.03685623283864296
Sgain-Neut	3.6	opt2	FixMod	0.008962358095996813	0.24540774874568436	0.038190839155260586	0.03817910021702311
Sgain-Neut	3.6	opt3	CueMod	0.05745155204939118	0.2782306025029209	-0.012577350008331758	0.0018567180214300583
Sgain-Neut	3.6	opt3	AntMod	0.03778135048231512	0.2598763306615651	-0.005981041729539802	-0.00925515865029387
Sgain-Neut	3.6	opt3	FixMod	0.01556420233463035	0.22084620827738646	0.005783161256360509	-0.003095134151941561
Sgain-Neut	3.6	opt4	CueMod	0.058969199814270234	0.2887168425822814	-0.003701111219247753	0.01142200025763173
Sgain-Neut	3.6	opt4	AntMod	0.0429425620583439	0.2709850304418111	0.00039095790393631094	-0.004366995093376279
Sgain-Neut	3.6	opt4	FixMod	0.01804757998359311	0.22306083484486286	0.006961831214134238	-0.004543704324071821
Sgain-Neut	4.8	opt1	CueMod	0.05893871157235168	0.38457834152291187	-0.03273193366706956	0.011676113208386558
Sgain-Neut	4.8	opt1	AntMod	0.03509729041643935	0.36850534743560415	0.0003697835085737869	0.08694995844083085
Sgain-Neut	4.8	opt1	FixMod	0.018633540372670808	0.33682615447763953	0.05317791939451586	0.12611966966459698
Sgain-Neut	4.8	opt2	CueMod	0.060952656725061526	0.32798698422526656	-0.032062150747627756	0.0181842189712576
Sgain-Neut	4.8	opt2	AntMod	0.032961046036502316	0.3350175335459411	0.005640192549291114	0.027016591687265477
Sgain-Neut	4.8	opt2	FixMod	0.012965286491007946	0.3147760697156958	0.047352033257407056	0.028708190589178582
Sgain-Neut	4.8	opt3	CueMod	0.07509881422924901	0.3573932557738071	-0.03460459242551162	-0.008929336886306202
Sgain-Neut	4.8	opt3	AntMod	0.0469074304690743	0.33525791025659085	-0.012918543777981262	-0.02085869337573387
Sgain-Neut	4.8	opt3	FixMod	0.024424678808414514	0.29297980716248334	0.003966852329526756	-0.01291394282357332
