con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	1.779	1.217
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	1.006	0.691
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.683	0.478
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.52	0.376
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.425	0.318
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	3.396	2.087
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	1.948	1.147
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	1.302	0.763
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.971	0.574
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.779	0.466
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	2.187	1.728
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	1.19	1.012
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.788	0.706
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.583	0.546
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.461	0.447
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	1.285	1.225
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.667	0.678
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.427	0.443
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.311	0.325
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.244	0.257
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	2.607	1.957
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	1.327	1.084
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.8	0.705
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.553	0.509
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.421	0.394
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	1.658	1.768
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.847	1.01
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.523	0.663
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.361	0.477
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.268	0.365
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	1.048	0.949
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.495	0.479
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.287	0.286
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.193	0.192
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.143	0.14
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	2.595	1.618
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	1.297	0.845
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.744	0.515
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.479	0.347
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.338	0.25
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	1.277	1.407
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.597	0.765
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.351	0.488
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.241	0.343
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.181	0.257
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	1.125	0.995
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.539	0.504
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.311	0.3
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.205	0.202
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.15	0.148
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	2.661	1.563
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	1.316	0.809
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.743	0.488
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.47	0.325
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.324	0.233
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	1.359	1.44
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.644	0.783
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.378	0.498
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.257	0.349
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.191	0.261
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.6	0.642	0.487
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.8	0.376	0.287
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.262	0.201
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.202	0.157
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.165	0.13
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	2.323	1.789
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	1.341	1.068
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.915	0.743
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	0.693	0.568
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.557	0.461
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	1.874	1.439
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	1.066	0.811
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.728	0.551
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.555	0.423
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.449	0.349
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.484	0.411
