mask	con	motion	model	fwhm	median_est
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.458
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.311
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.24
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.201
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.178
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.786
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.514
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.383
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.311
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.266
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.612
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.403
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.302
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.247
mask-wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.214
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.418
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.275
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.204
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.166
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.142
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.701
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.446
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.323
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.255
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.215
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.538
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.349
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.257
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.206
mask-wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.176
mask-wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.375
