con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	-0.031	0.084
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	-0.006	0.06
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.017	0.047
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.032	0.042
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.04	0.04
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.287	0.228
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.19	0.177
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.151	0.146
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.135	0.129
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.13	0.12
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.221	0.204
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.19	0.166
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.171	0.14
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.159	0.125
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.148	0.115
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	-0.025	0.041
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	-0.003	0.031
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.009	0.028
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.016	0.029
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.021	0.031
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.223	0.195
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.163	0.131
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.136	0.102
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.124	0.09
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.119	0.086
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.103	0.101
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.084	0.081
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.071	0.072
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.061	0.069
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.057	0.068
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	-0.011	0.001
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	-0.004	0.007
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.0	0.008
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.003	0.008
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.006	0.008
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.008	0.136
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	-0.01	0.078
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	-0.015	0.045
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	-0.012	0.029
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	-0.006	0.022
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.032	-0.042
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.012	-0.032
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.005	-0.023
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.004	-0.015
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.005	-0.008
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	-0.069	0.004
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	-0.036	0.003
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	-0.021	0.002
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	-0.012	0.002
