con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	-0.02	0.081
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	-0.004	0.098
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.03	0.107
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.066	0.117
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.097	0.13
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.118	0.149
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.137	0.188
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.158	0.219
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.185	0.25
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.217	0.282
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.115	0.147
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.156	0.199
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.195	0.237
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.232	0.266
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.266	0.29
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	-0.001	0.063
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.009	0.074
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.028	0.089
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.052	0.114
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.077	0.142
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.127	0.13
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.161	0.155
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.194	0.181
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.232	0.212
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.273	0.247
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.089	0.125
