mask	con	motion	model	fwhm	median_est
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.117
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.139
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.156
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.167
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.174
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.205
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.246
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.28
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.308
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.33
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.152
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.187
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.216
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.239
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.256
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.125
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.154
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.176
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.194
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.206
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.234
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.283
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.325
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.358
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.385
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.163
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.205
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.242
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.2	0.273
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-8.4	0.299
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.132
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.16
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.183
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.201
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.215
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.217
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.266
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.311
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.348
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.378
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.136
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.168
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.198
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.223
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.244
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.128
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.154
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.177
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.194
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.208
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.214
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.263
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.309
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.348
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.379
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.135
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.168
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.197
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.223
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.244
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.6	0.068
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.8	0.083
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.095
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.104
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.112
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	0.049
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	0.058
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.065
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	0.069
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.073
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	0.071
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	0.089
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.103
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.116
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.127
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.078
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.8	0.098
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.117
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.2	0.133
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-8.4	0.145
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.6	0.059
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.8	0.073
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.084
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.2	0.093
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-8.4	0.099
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.6	0.081
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.8	0.104
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.125
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.2	0.144
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-8.4	0.16
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.073
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.089
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.104
