con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	3.6	opt1	CueMod	0.15844209334054107	0.5275714088736969	0.23367906847585782	0.1920013812736789
Lgain-Neut	3.6	opt1	AntMod	0.1793577202223463	0.582137786465317	0.26146515249639635	0.24781979417406222
Lgain-Neut	3.6	opt1	FixMod	0.17597167325428195	0.5891107749765984	0.273711350791741	0.2852768550798237
Lgain-Neut	3.6	opt2	CueMod	0.1794009417164563	0.5433895650664132	0.22967112642210022	0.20679731085547876
Lgain-Neut	3.6	opt2	AntMod	0.18808946915236588	0.5733060946124454	0.2574935800495901	0.2371553243576518
Lgain-Neut	3.6	opt2	FixMod	0.18031271015467384	0.5800483267470076	0.2618478905541147	0.252280664130271
Lgain-Neut	3.6	opt3	CueMod	0.1840499180178539	0.5897956177351952	0.23806645494495898	0.20402345718047113
Lgain-Neut	3.6	opt3	AntMod	0.17974138938901488	0.6104127886907623	0.24209718751084747	0.2111040477940957
Lgain-Neut	3.6	opt3	FixMod	0.16633314849193528	0.5964730524547085	0.24037251788858194	0.21934266345504352
Lgain-Neut	3.6	opt4	CueMod	0.1822426774503452	0.5873880504800361	0.21564046385171584	0.18918851780884463
Lgain-Neut	3.6	opt4	AntMod	0.18292071308074592	0.6071167847179961	0.21405746267925638	0.19158160474970007
Lgain-Neut	3.6	opt4	FixMod	0.16842900302114802	0.5917359046867782	0.2186614289187254	0.20591386910753082
Lgain-Neut	4.8	opt1	CueMod	0.2094725346310808	0.5921122878179296	0.23728528032142454	0.20486981583002978
Lgain-Neut	4.8	opt1	AntMod	0.23615304482935184	0.6529104623367531	0.28159550263861827	0.2819391852914403
Lgain-Neut	4.8	opt1	FixMod	0.2336562282120129	0.665072996726815	0.30169928079265157	0.32530049864378585
Lgain-Neut	4.8	opt2	CueMod	0.23789302230883336	0.6139001501071992	0.22762949098746643	0.21982767838628436
Lgain-Neut	4.8	opt2	AntMod	0.24948757181211928	0.6475055010058564	0.2670072994318531	0.25379637212548783
Lgain-Neut	4.8	opt2	FixMod	0.24238367249791742	0.6580786927767661	0.27539337349575893	0.268639832016188
Lgain-Neut	4.8	opt3	CueMod	0.24081134161839216	0.6733414590618639	0.24756697097192307	0.23260955655340637
Lgain-Neut	4.8	opt3	AntMod	0.23430254942332476	0.695732523249977	0.2558573457107497	0.24691920296731593
Lgain-Neut	4.8	opt3	FixMod	0.2163151827490337	0.6833539972668387	0.2544653474885423	0.2503883464594383
Lgain-Neut	4.8	opt4	CueMod	0.2426062470498234	0.6718417082469365	0.2205965061319869	0.21827869901834912
