con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	1.48	0.92
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.907	0.569
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.631	0.417
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.477	0.334
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.379	0.28
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	2.154	1.552
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	1.239	0.874
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.839	0.577
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.628	0.425
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.496	0.335
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	2.022	1.257
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	1.212	0.722
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.824	0.488
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.603	0.368
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.46	0.294
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	1.105	0.71
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.666	0.427
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.459	0.297
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	0.344	0.226
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	0.271	0.183
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	1.64	1.251
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.875	0.69
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.57	0.452
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.415	0.33
