subject	model	motion	con	eff_est
sub-238	AntMod	opt1	Lgain-Neut	3.7213461963586454
sub-238	AntMod	opt2	Lgain-Neut	3.2349008950069122
sub-238	AntMod	opt3	Lgain-Neut	3.0047933093693198
sub-238	AntMod	opt4	Lgain-Neut	2.905920235683507
sub-238	CueMod	opt1	Lgain-Neut	1.2695505936572953
sub-238	CueMod	opt2	Lgain-Neut	1.0847175575128305
sub-238	CueMod	opt3	Lgain-Neut	0.9934235527837546
sub-238	CueMod	opt4	Lgain-Neut	0.9664183735908777
sub-238	FixMod	opt1	Lgain-Neut	0.7368732482465976
sub-238	FixMod	opt2	Lgain-Neut	0.6553639733920331
sub-238	FixMod	opt3	Lgain-Neut	0.6205878263251428
sub-238	FixMod	opt4	Lgain-Neut	0.5956220110173902
sub-63	AntMod	opt1	Lgain-Neut	3.6701697643930764
sub-63	AntMod	opt2	Lgain-Neut	3.1641071237557465
sub-63	AntMod	opt3	Lgain-Neut	2.92684075980027
sub-63	AntMod	opt4	Lgain-Neut	2.896076508848625
sub-63	CueMod	opt1	Lgain-Neut	1.2679379477281656
sub-63	CueMod	opt2	Lgain-Neut	1.1016419031322315
sub-63	CueMod	opt3	Lgain-Neut	1.0086808976407102
sub-63	CueMod	opt4	Lgain-Neut	0.9961560206048967
sub-63	FixMod	opt1	Lgain-Neut	0.7122898816471361
sub-63	FixMod	opt2	Lgain-Neut	0.6194858012346496
sub-63	FixMod	opt3	Lgain-Neut	0.5734061215602027
sub-63	FixMod	opt4	Lgain-Neut	0.5687919283797703
sub-16	AntMod	opt1	Lgain-Neut	3.7138431759496404
sub-16	AntMod	opt2	Lgain-Neut	3.3412523102046556
sub-16	AntMod	opt3	Lgain-Neut	3.031176154899071
sub-16	AntMod	opt4	Lgain-Neut	2.879640472914965
sub-16	CueMod	opt1	Lgain-Neut	1.2798454029556203
sub-16	CueMod	opt2	Lgain-Neut	1.1366864704062936
sub-16	CueMod	opt3	Lgain-Neut	1.0380444448883042
sub-16	CueMod	opt4	Lgain-Neut	0.9905244899367771
sub-16	FixMod	opt1	Lgain-Neut	0.7246716841000382
sub-16	FixMod	opt2	Lgain-Neut	0.6644829438537402
sub-16	FixMod	opt3	Lgain-Neut	0.601126708113064
sub-16	FixMod	opt4	Lgain-Neut	0.5719542116844292
sub-95	AntMod	opt1	Lgain-Neut	3.7433221024527237
sub-95	AntMod	opt2	Lgain-Neut	3.0375984225929877
sub-95	AntMod	opt3	Lgain-Neut	2.2715614541484026
sub-95	AntMod	opt4	Lgain-Neut	2.2715614541484026
sub-95	CueMod	opt1	Lgain-Neut	1.2819384002631844
sub-95	CueMod	opt2	Lgain-Neut	1.041997607043486
sub-95	CueMod	opt3	Lgain-Neut	0.7649478834865745
sub-95	CueMod	opt4	Lgain-Neut	0.7649478834865745
sub-95	FixMod	opt1	Lgain-Neut	0.7328499869831684
sub-95	FixMod	opt2	Lgain-Neut	0.6013018142498208
sub-95	FixMod	opt3	Lgain-Neut	0.4661585011729734
sub-95	FixMod	opt4	Lgain-Neut	0.4661585011729734
sub-131	AntMod	opt1	Lgain-Neut	3.6068730988428555
sub-131	AntMod	opt2	Lgain-Neut	3.1081379997163525
sub-131	AntMod	opt3	Lgain-Neut	2.6568742833232455
sub-131	AntMod	opt4	Lgain-Neut	2.5460509966297957
sub-131	CueMod	opt1	Lgain-Neut	1.2235717957394092
sub-131	CueMod	opt2	Lgain-Neut	1.0448715650854128
sub-131	CueMod	opt3	Lgain-Neut	0.8948122257131095
sub-131	CueMod	opt4	Lgain-Neut	0.8490942983584876
sub-131	FixMod	opt1	Lgain-Neut	0.717393169780738
sub-131	FixMod	opt2	Lgain-Neut	0.6346364042588194
sub-131	FixMod	opt3	Lgain-Neut	0.5496369190144914
sub-131	FixMod	opt4	Lgain-Neut	0.5278470205544221
sub-34	AntMod	opt1	Lgain-Neut	3.6112164654001804
sub-34	AntMod	opt2	Lgain-Neut	3.3121594123074747
sub-34	AntMod	opt3	Lgain-Neut	2.7542347613137754
sub-34	AntMod	opt4	Lgain-Neut	2.716343312068897
sub-34	CueMod	opt1	Lgain-Neut	1.2333439514515174
sub-34	CueMod	opt2	Lgain-Neut	1.1504718761720292
sub-34	CueMod	opt3	Lgain-Neut	0.988230398507215
sub-34	CueMod	opt4	Lgain-Neut	0.9769950007317938
sub-34	FixMod	opt1	Lgain-Neut	0.7132573364402703
sub-34	FixMod	opt2	Lgain-Neut	0.6469978395538
sub-34	FixMod	opt3	Lgain-Neut	0.5186692277981604
sub-34	FixMod	opt4	Lgain-Neut	0.5106209952573632
sub-79	AntMod	opt1	Lgain-Neut	3.758392085154691
sub-79	AntMod	opt2	Lgain-Neut	3.2380447473508642
sub-79	AntMod	opt3	Lgain-Neut	2.7059290168511905
sub-79	AntMod	opt4	Lgain-Neut	2.700351789103498
sub-79	CueMod	opt1	Lgain-Neut	1.3037113470503057
sub-79	CueMod	opt2	Lgain-Neut	1.1312232673917948
sub-79	CueMod	opt3	Lgain-Neut	0.9418773040476581
sub-79	CueMod	opt4	Lgain-Neut	0.9418229274114525
sub-79	FixMod	opt1	Lgain-Neut	0.726995897628086
sub-79	FixMod	opt2	Lgain-Neut	0.6308071396465764
sub-79	FixMod	opt3	Lgain-Neut	0.5303710410233111
sub-79	FixMod	opt4	Lgain-Neut	0.5262397993000664
sub-81	AntMod	opt1	Lgain-Neut	3.829622126035395
sub-81	AntMod	opt2	Lgain-Neut	3.1251081096807245
sub-81	AntMod	opt3	Lgain-Neut	2.7733304554893174
sub-81	AntMod	opt4	Lgain-Neut	2.683989493824362
sub-81	CueMod	opt1	Lgain-Neut	1.3271824927675118
sub-81	CueMod	opt2	Lgain-Neut	1.0850789923034077
sub-81	CueMod	opt3	Lgain-Neut	0.978920226429828
sub-81	CueMod	opt4	Lgain-Neut	0.947794386286029
sub-81	FixMod	opt1	Lgain-Neut	0.738322186207822
sub-81	FixMod	opt2	Lgain-Neut	0.6118929225950469
sub-81	FixMod	opt3	Lgain-Neut	0.541503239794672
sub-81	FixMod	opt4	Lgain-Neut	0.523834579373933
sub-102	AntMod	opt1	Lgain-Neut	3.7848066382213457
sub-102	AntMod	opt2	Lgain-Neut	3.156385183914183
sub-102	AntMod	opt3	Lgain-Neut	2.981812653552473
sub-102	AntMod	opt4	Lgain-Neut	2.9730914793755514
sub-102	CueMod	opt1	Lgain-Neut	1.297439390715863
sub-102	CueMod	opt2	Lgain-Neut	1.0715744837781946
sub-102	CueMod	opt3	Lgain-Neut	1.0115980280754004
sub-102	CueMod	opt4	Lgain-Neut	1.0034237210275856
sub-102	FixMod	opt1	Lgain-Neut	0.7427135129174884
sub-102	FixMod	opt2	Lgain-Neut	0.6437919187595837
sub-102	FixMod	opt3	Lgain-Neut	0.6082455708154386
sub-102	FixMod	opt4	Lgain-Neut	0.6081832150440027
