con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	2.306	1.733
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	1.849	1.355
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	1.508	1.079
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	1.267	0.89
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	1.102	0.77
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	3.578	2.852
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	2.888	2.248
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	2.377	1.815
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	2.01	1.519
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	1.752	1.329
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	5.029	4.17
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	4.217	3.435
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	3.618	2.913
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	3.198	2.568
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	2.914	2.361
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	1.559	1.378
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	1.262	1.099
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	1.049	0.908
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.902	0.785
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.804	0.708
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	2.636	2.335
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	2.117	1.859
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	1.745	1.525
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	1.487	1.299
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	1.311	1.15
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	3.774	3.244
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	3.117	2.64
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	2.64	2.228
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	2.307	1.965
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	2.085	1.807
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	1.259	1.106
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.996	0.858
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.808	0.685
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.674	0.567
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.578	0.485
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	2.156	1.678
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	1.669	1.262
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	1.315	0.976
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	1.063	0.78
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.886	0.646
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	2.509	2.572
