con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.182	0.147
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.191	0.159
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.205	0.176
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.224	0.2
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.247	0.232
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.293	0.185
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.318	0.204
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.346	0.228
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.376	0.258
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.406	0.291
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.298	0.257
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.328	0.283
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.363	0.316
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.402	0.356
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.442	0.402
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.101	0.079
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.115	0.094
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.132	0.118
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.151	0.15
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.171	0.182
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	0.092	0.044
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.103	0.054
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.119	0.07
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.138	0.088
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.158	0.108
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	0.232	0.178
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	0.255	0.198
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.281	0.226
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.309	0.26
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.339	0.297
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.142	0.078
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.167	0.094
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.194	0.115
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.221	0.138
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.244	0.157
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.128	0.029
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.149	0.044
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.172	0.065
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.195	0.088
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.216	0.108
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	0.145	0.179
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	0.174	0.207
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.208	0.237
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.246	0.267
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.284	0.294
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.144	0.083
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.167	0.1
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.192	0.121
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.216	0.143
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.237	0.164
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	0.12	0.018
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	0.14	0.029
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.161	0.046
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.184	0.066
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.207	0.086
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	0.155	0.184
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	0.185	0.211
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	0.219	0.24
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.256	0.269
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.293	0.296
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.18	0.125
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.207	0.141
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.233	0.164
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.257	0.192
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.278	0.222
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.149	0.085
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.172	0.097
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.194	0.116
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.214	0.14
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.233	0.167
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.224	0.15
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.255	0.169
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.283	0.194
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.309	0.224
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.331	0.257
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.167	0.121
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.19	0.132
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.212	0.146
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.231	0.163
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.248	0.183
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.11	0.077
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.126	0.083
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.142	0.092
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.156	0.105
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.171	0.123
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.195	0.143
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.215	0.156
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.234	0.172
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.25	0.19
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.264	0.21
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.153	0.084
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.18	0.091
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.203	0.1
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.222	0.112
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.237	0.126
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.119	0.026
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.141	0.028
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.159	0.035
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.174	0.047
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.187	0.065
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.166	0.11
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.192	0.119
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.213	0.128
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.229	0.139
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	0.242	0.153
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.128	0.074
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.15	0.078
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.168	0.083
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.182	0.09
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.194	0.101
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.099	0.026
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.117	0.027
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.132	0.032
