mask	con	motion	model	fwhm	median_est
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.143
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.16
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.175
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.188
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.198
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.308
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.35
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.391
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.429
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.461
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.285
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.326
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.365
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.4
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.428
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.108
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.123
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.136
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.148
