con	fwhm	motion	model	jaccard	spearman	run1_icc_cohensd	run2_icc_cohensd
Lgain-Neut	3.0	opt1	CueMod	0.347439347105784	0.7690674639515007	0.33807652517928494	0.3704533344419824
Lgain-Neut	3.0	opt1	AntMod	0.35654861853152187	0.7701020001827369	0.38247816221983255	0.4073783106558579
Lgain-Neut	3.0	opt1	FixMod	0.34741875258716093	0.7610636204644781	0.4076516209249334	0.4186354174285411
Lgain-Neut	3.0	opt2	CueMod	0.34520362413599853	0.7549620547823075	0.3316827664736904	0.3618100936384447
Lgain-Neut	3.0	opt2	AntMod	0.3656443732807817	0.7630340891465305	0.37687594766430627	0.3994668669969959
Lgain-Neut	3.0	opt2	FixMod	0.3637013808659295	0.7634444110614718	0.3856942266302571	0.395850626515181
Lgain-Neut	3.0	opt3	CueMod	0.2567580660788683	0.7109191763428004	0.14353030997652513	0.18383232723301463
Lgain-Neut	3.0	opt3	AntMod	0.25765461621418856	0.7135816209196454	0.172005066264666	0.19827486032385824
Lgain-Neut	3.0	opt3	FixMod	0.25822117385874843	0.719256279978516	0.17671944566871153	0.18843504391540858
Lgain-Neut	3.0	opt4	CueMod	0.2609182530795073	0.7064715591557208	0.14723504879400628	0.18101313560669413
Lgain-Neut	3.0	opt4	AntMod	0.2616551207639019	0.7107577501180921	0.17248472344170154	0.1925950715177804
Lgain-Neut	3.0	opt4	FixMod	0.25868015635778335	0.7143432464343854	0.18786856662078152	0.18730801122823257
Lgain-Neut	4.0	opt1	CueMod	0.39302184748684027	0.8019911057051209	0.3498521060951403	0.38840146440513135
Lgain-Neut	4.0	opt1	AntMod	0.4016550376108499	0.8004708360557043	0.39162441719044877	0.4224976081876969
Lgain-Neut	4.0	opt1	FixMod	0.3928407558783874	0.7895505843987294	0.4130076034576354	0.42831470396137206
Lgain-Neut	4.0	opt2	CueMod	0.39153182831121014	0.7899061352925986	0.34985538423898466	0.3799920704126754
Lgain-Neut	4.0	opt2	AntMod	0.41448076693039865	0.7948809849348022	0.39629693168228886	0.418926411792947
Lgain-Neut	4.0	opt2	FixMod	0.4133996399914574	0.7951170581948757	0.3977013732135191	0.4090376909441416
Lgain-Neut	4.0	opt3	CueMod	0.2937314124599282	0.7679084618318891	0.15620978619538323	0.197997030308714
Lgain-Neut	4.0	opt3	AntMod	0.29824167601945384	0.7704425869428874	0.1894864007611613	0.2147458139790484
Lgain-Neut	4.0	opt3	FixMod	0.297983131646498	0.7766652545017403	0.19289618680299483	0.20084286112017438
Lgain-Neut	4.0	opt4	CueMod	0.2979912865790184	0.7632537660735949	0.1557253763185707	0.19216394252130314
Lgain-Neut	4.0	opt4	AntMod	0.30043013942450314	0.7675613231343099	0.186362579916197	0.20623486483902023
Lgain-Neut	4.0	opt4	FixMod	0.2965347609057368	0.7717091631695916	0.20571751370818017	0.19942832722235368
Lgain-Neut	5.0	opt1	CueMod	0.43754708211120197	0.8282195113810463	0.35524884178053917	0.40005971973865617
Lgain-Neut	5.0	opt1	AntMod	0.4461414957888982	0.8236646245630421	0.39530140065057406	0.4325697876544688
Lgain-Neut	5.0	opt1	FixMod	0.43642143781950354	0.8098583656140992	0.4134632287966344	0.4353216595378279
Lgain-Neut	5.0	opt2	CueMod	0.43879360344684726	0.8182689201304558	0.3634077066648834	0.39290028129488563
Lgain-Neut	5.0	opt2	AntMod	0.46457051720209624	0.8207846449589242	0.411413107866987	0.43546311960076123
Lgain-Neut	5.0	opt2	FixMod	0.46422805843209836	0.8205762019506683	0.4057278479458149	0.4198367488850418
Lgain-Neut	5.0	opt3	CueMod	0.3378963001226836	0.8131357571379056	0.17013606515712681	0.21222591729871285
Lgain-Neut	5.0	opt3	AntMod	0.34563106796116505	0.8155000954345759	0.20681171703413645	0.23159600403611308
Lgain-Neut	5.0	opt3	FixMod	0.34091943559399185	0.8220806777554026	0.20686778944619683	0.21370039368944282
Lgain-Neut	5.0	opt4	CueMod	0.3405660678387952	0.8081367129070577	0.16600688567196076	0.2034629904403668
Lgain-Neut	5.0	opt4	AntMod	0.3482749000278992	0.8123422982886339	0.2004692031870351	0.22052541638691733
Lgain-Neut	5.0	opt4	FixMod	0.3395738611036819	0.8171448266191208	0.22181129368540248	0.21270726698423248
Lgain-Neut	6.0	opt1	CueMod	0.48106758010418893	0.8490953879456701	0.3527077920941887	0.4056964185553036
Lgain-Neut	6.0	opt1	AntMod	0.487383781710659	0.8420342000173631	0.3914763558348631	0.43908490458693555
Lgain-Neut	6.0	opt1	FixMod	0.47727730890982295	0.8250917634211931	0.41093181751019764	0.4435422691763076
Lgain-Neut	6.0	opt2	CueMod	0.4888068482673414	0.8406968753880845	0.3729868006552293	0.4009162561369446
Lgain-Neut	6.0	opt2	AntMod	0.5156898893211654	0.8413675796950069	0.4238114143107615	0.4479874206395671
Lgain-Neut	6.0	opt2	FixMod	0.5171420476010578	0.8415555797564299	0.41257209265120637	0.4292593641647796
Lgain-Neut	6.0	opt3	CueMod	0.38057976664531756	0.8467927531992082	0.1829413597757405	0.22490337469271282
Lgain-Neut	6.0	opt3	AntMod	0.3848632104599028	0.8490765223870961	0.2231757692058082	0.24736535569324367
Lgain-Neut	6.0	opt3	FixMod	0.37664139791854045	0.855802049075447	0.22069087627900896	0.22677885000704603
Lgain-Neut	6.0	opt4	CueMod	0.38710389753781604	0.8413873914581127	0.1767495743644726	0.21466369121078233
Lgain-Neut	6.0	opt4	AntMod	0.39009353741496594	0.8454888197440044	0.21444520091515343	0.234524133509334
Lgain-Neut	6.0	opt4	FixMod	0.3778775119134666	0.8508652987628761	0.23798031336117578	0.22758027964268027
Lgain-Neut	7.0	opt1	CueMod	0.5191355599214145	0.8646122510825591	0.34520793198080113	0.40621338089776227
Lgain-Neut	7.0	opt1	AntMod	0.5255467765945265	0.855275141327505	0.38354843582214787	0.44280170093142046
Lgain-Neut	7.0	opt1	FixMod	0.51551685644117	0.8355744578820758	0.4064766435347955	0.45197022069707704
Lgain-Neut	7.0	opt2	CueMod	0.5374438325619109	0.8566187055801222	0.3780709992211472	0.40359804841615604
Lgain-Neut	7.0	opt2	AntMod	0.5672694735432505	0.8554593725474298	0.43230416282530926	0.455918478811837
Lgain-Neut	7.0	opt2	FixMod	0.5705138838204558	0.8562534481029618	0.41816490425194774	0.43721867045097185
Lgain-Neut	7.0	opt3	CueMod	0.4160757673426886	0.8703539600625776	0.19617852521024046	0.23791460769370912
Lgain-Neut	7.0	opt3	AntMod	0.41809965513140684	0.8726146218367841	0.239214840214971	0.26315839576602107
Lgain-Neut	7.0	opt3	FixMod	0.407938828291915	0.8795715722242334	0.2349328348763072	0.24104898994230128
Lgain-Neut	7.0	opt4	CueMod	0.42249001886006804	0.864691634934885	0.189033639423157	0.22746592965478918
Lgain-Neut	7.0	opt4	AntMod	0.4216929483880024	0.8686869768921626	0.22957410980507995	0.25017872524359247
Lgain-Neut	7.0	opt4	FixMod	0.40803651765532073	0.8746240660922222	0.2556599005353412	0.24542327483720972
Sgain-Neut	3.0	opt1	CueMod	0.223524938209012	0.5679692213318277	0.17967897002602798	0.18598871380493537
Sgain-Neut	3.0	opt1	AntMod	0.19883296068059117	0.5668915297836468	0.1979676756534757	0.17989992558864426
Sgain-Neut	3.0	opt1	FixMod	0.17299902695118918	0.5456453990011322	0.231794562135623	0.1795789699543133
Sgain-Neut	3.0	opt2	CueMod	0.22545968882602543	0.5771880151538844	0.22272260893912882	0.24715806369776225
Sgain-Neut	3.0	opt2	AntMod	0.22480865663763525	0.5813010797067841	0.2225072937233653	0.2332381420330948
Sgain-Neut	3.0	opt2	FixMod	0.21568161850260018	0.5675191286461364	0.20432586921722135	0.19984990038402758
Sgain-Neut	3.0	opt3	CueMod	0.18938668986515877	0.503857215391165	0.09208797515998857	0.1015245542858294
Sgain-Neut	3.0	opt3	AntMod	0.18301852191454246	0.49761658765685074	0.08790705346682601	0.08964494413192009
Sgain-Neut	3.0	opt3	FixMod	0.15761673357278683	0.47604933814238054	0.055379919355910565	0.056833506570127264
Sgain-Neut	3.0	opt4	CueMod	0.17885341572262273	0.49756446401752186	0.09081434138395912	0.0966218363086923
Sgain-Neut	3.0	opt4	AntMod	0.176698670605613	0.4911296444301111	0.0867650313746075	0.08696482343948889
Sgain-Neut	3.0	opt4	FixMod	0.14705882352941174	0.47086452090792696	0.06267283103923774	0.06029900670090262
Sgain-Neut	4.0	opt1	CueMod	0.2587586067233698	0.6210666628989815	0.1875770790753381	0.189913858160569
Sgain-Neut	4.0	opt1	AntMod	0.22805294619982922	0.6170785389478715	0.2096832242811483	0.18086844086802142
Sgain-Neut	4.0	opt1	FixMod	0.19663417421264953	0.5886923634754424	0.24966092664643003	0.18165140572989347
Sgain-Neut	4.0	opt2	CueMod	0.2603529307439922	0.6231515698386487	0.23340498144055455	0.2619561205979028
Sgain-Neut	4.0	opt2	AntMod	0.25997860258414945	0.6270922709642307	0.23372666585332963	0.2457351826924722
Sgain-Neut	4.0	opt2	FixMod	0.2497718728327919	0.6116618194837233	0.21384845173887645	0.20673005670098774
Sgain-Neut	4.0	opt3	CueMod	0.21701669359181475	0.5619622578442612	0.09709372794822435	0.11152627555171801
Sgain-Neut	4.0	opt3	AntMod	0.20963721960675713	0.557944882377355	0.09510154841768599	0.09826072296147698
Sgain-Neut	4.0	opt3	FixMod	0.17530674846625766	0.540624260835256	0.05936951646734792	0.0609215483444168
Sgain-Neut	4.0	opt4	CueMod	0.20604865220249838	0.5559114361334893	0.09427634963360426	0.1046083235930915
Sgain-Neut	4.0	opt4	AntMod	0.20155739414586663	0.5518781489859995	0.09289131549748604	0.09457254159587421
Sgain-Neut	4.0	opt4	FixMod	0.1654231667797121	0.535785218105724	0.06617357650380816	0.0655715863116337
Sgain-Neut	5.0	opt1	CueMod	0.2867115484205075	0.6686789190725477	0.1849505149100115	0.18645549343827547
Sgain-Neut	5.0	opt1	AntMod	0.2564773574114833	0.6618623719034793	0.2071642320332038	0.17392227593688805
Sgain-Neut	5.0	opt1	FixMod	0.21723435384846784	0.6266094796268299	0.25345718286098384	0.17750280299083931
Sgain-Neut	5.0	opt2	CueMod	0.28470262499334437	0.6633179674437217	0.23626676547891912	0.2711591871424209
Sgain-Neut	5.0	opt2	AntMod	0.289380311906923	0.66662377747325	0.23926536167103798	0.2518358807799867
Sgain-Neut	5.0	opt2	FixMod	0.2815947076223644	0.6500480579421601	0.2187223160618825	0.20785031617901562
Sgain-Neut	5.0	opt3	CueMod	0.2425026968716289	0.6133555625081403	0.09847341631604113	0.11638894812087731
Sgain-Neut	5.0	opt3	AntMod	0.23805353330778914	0.6119293868007912	0.09901995926872253	0.10262647099702271
Sgain-Neut	5.0	opt3	FixMod	0.1987505784359093	0.5999103838890566	0.05919560457427193	0.060949807761020776
Sgain-Neut	5.0	opt4	CueMod	0.22692247208680613	0.6074645036369491	0.09451114099528847	0.10849291713994846
Sgain-Neut	5.0	opt4	AntMod	0.22211286089238844	0.6061053151980843	0.0963907502492045	0.09915751507255978
Sgain-Neut	5.0	opt4	FixMod	0.18728755948334466	0.5950137353719817	0.06573940333996528	0.06767759121646938
