con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	1.547	1.327
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	1.225	1.015
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.976	0.776
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.789	0.602
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.652	0.481
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	1.914	2.01
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	1.469	1.531
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	1.139	1.177
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.901	0.923
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.732	0.749
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	2.678	2.547
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	2.12	1.991
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	1.694	1.564
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	1.376	1.248
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	1.144	1.024
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	1.265	1.179
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.997	0.911
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.801	0.716
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.661	0.581
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.564	0.491
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	2.208	2.17
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	1.73	1.685
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	1.378	1.333
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	1.125	1.087
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.947	0.92
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	2.357	2.311
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	1.86	1.813
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	1.495	1.447
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	1.232	1.187
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	1.043	1.008
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.929	0.948
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.701	0.713
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.539	0.547
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.426	0.435
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.35	0.359
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	1.659	1.566
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	1.23	1.141
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.923	0.844
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.71	0.644
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.565	0.512
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	1.864	1.879
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	1.404	1.419
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	1.081	1.094
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.857	0.869
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.701	0.717
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.956	0.996
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.72	0.747
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.552	0.571
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.438	0.45
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.36	0.37
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	1.706	1.626
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	1.264	1.185
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.949	0.876
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.73	0.667
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.58	0.529
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	1.875	1.928
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	1.411	1.454
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	1.087	1.121
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.863	0.891
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.71	0.736
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.208	0.211
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.161	0.164
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.127	0.13
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.104	0.106
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.088	0.09
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.61	0.638
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.473	0.496
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.374	0.393
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.305	0.321
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.258	0.272
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.998	1.02
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.772	0.793
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.61	0.629
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.497	0.513
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.42	0.432
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.188	0.199
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.145	0.155
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.115	0.124
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.095	0.102
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.081	0.088
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.573	0.604
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.446	0.471
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.356	0.377
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.293	0.311
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.249	0.266
