mask	con	motion	model	fwhm	median_est
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	1.905
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	1.466
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	1.163
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.952
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.809
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	2.56
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	1.907
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	1.463
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	1.158
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.954
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	3.205
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	2.418
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	1.876
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	1.511
mask-wilson-sub	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	1.257
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	1.791
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	1.402
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	1.13
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.939
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.804
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	2.746
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	2.086
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	1.63
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	1.321
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	1.105
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	3.02
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	2.285
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	1.775
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	1.429
mask-wilson-sub	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	1.189
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	1.521
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	1.151
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.896
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.722
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.602
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	2.417
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	1.776
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	1.344
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	1.052
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.854
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	2.898
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	2.141
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	1.627
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	1.28
mask-wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	1.046
mask-wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	1.585
mask-wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	1.196
mask-wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.93
mask-wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.748
