con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.143	0.139
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.13	0.128
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.119	0.117
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.109	0.106
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.099	0.096
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.314	0.249
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.292	0.232
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.279	0.22
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.27	0.214
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.265	0.214
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.592	0.396
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.517	0.352
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.445	0.317
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.382	0.291
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.328	0.274
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.099	0.078
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.09	0.071
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.08	0.063
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.069	0.054
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.057	0.045
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	0.103	0.165
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.098	0.155
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.097	0.148
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.099	0.144
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.1	0.14
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	0.519	0.248
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	0.447	0.219
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.377	0.194
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.314	0.175
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.262	0.163
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.053	0.054
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.049	0.052
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.045	0.049
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.041	0.044
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.036	0.039
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.096	0.101
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.084	0.098
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.074	0.094
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.065	0.089
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.056	0.083
