mask	con	motion	model	fwhm	median_est
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.154
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.138
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.123
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.111
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.1
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.481
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.441
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.406
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.375
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.349
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.683
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.616
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.557
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.505
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.46
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.116
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.101
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.089
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.079
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.071
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	0.428
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.392
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.363
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.337
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.315
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	0.609
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	0.548
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.493
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.445
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.406
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.088
