con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.168	0.189
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.185	0.216
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.198	0.24
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.207	0.258
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.209	0.269
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.198	0.196
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.225	0.225
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.254	0.255
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.282	0.288
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.308	0.322
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.265	0.21
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.276	0.227
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.278	0.242
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.272	0.255
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.262	0.265
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.153	0.127
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.173	0.145
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.187	0.159
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.189	0.163
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.178	0.157
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	0.088	0.158
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.105	0.187
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.126	0.22
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.149	0.253
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.169	0.281
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	0.278	0.14
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	0.293	0.156
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.296	0.17
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.288	0.179
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.272	0.187
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.108	0.111
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.128	0.138
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.146	0.164
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.159	0.185
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.165	0.197
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.101	0.12
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.115	0.153
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.13	0.193
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.142	0.235
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.148	0.271
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	0.212	0.18
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	0.242	0.21
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.267	0.236
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.285	0.257
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.298	0.271
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.122	0.108
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.143	0.136
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.162	0.164
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.176	0.186
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.183	0.2
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	0.109	0.15
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	0.127	0.191
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.147	0.237
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.165	0.284
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.177	0.324
