con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	3.0	opt1	CueMod	0.4324749534310024	0.8162518565680303	0.41869020830544523	0.38379115223257737
Lgain-Neut	3.0	opt1	AntMod	0.4634433545682559	0.8132937127601615	0.4317428931493508	0.39292722841377
Lgain-Neut	3.0	opt1	FixMod	0.48589545747874635	0.8093005468296419	0.4308770502674405	0.3908588610181077
Lgain-Neut	3.0	opt2	CueMod	0.44165485260945175	0.8232821519642882	0.3888700785834722	0.3611104926065879
Lgain-Neut	3.0	opt2	AntMod	0.477638808027678	0.8249095317683096	0.4088970307498886	0.37780227914292175
Lgain-Neut	3.0	opt2	FixMod	0.49448139103377475	0.8216374806337993	0.4166030680945937	0.38588019025105696
Lgain-Neut	3.0	opt3	CueMod	0.3604851690043689	0.8082001157890807	0.2041541832835869	0.2135135931477158
Lgain-Neut	3.0	opt3	AntMod	0.3625513819985825	0.8110098022982117	0.2380379584687706	0.23677015327056064
Lgain-Neut	3.0	opt3	FixMod	0.3548688880939933	0.8130329834302482	0.24366124344229928	0.238569777402827
Lgain-Neut	3.0	opt4	CueMod	0.3582704585026117	0.8056295182192456	0.20300709939090705	0.21563767781187038
Lgain-Neut	3.0	opt4	AntMod	0.3586490656608949	0.8084749402445282	0.23198843707906075	0.23506663941429704
Lgain-Neut	3.0	opt4	FixMod	0.3512231861418729	0.8105072434226461	0.23812128704677185	0.2353270023892133
Lgain-Neut	4.0	opt1	CueMod	0.47948244408909707	0.8287305671645503	0.4131769086970957	0.36441210005283825
Lgain-Neut	4.0	opt1	AntMod	0.5160338696560411	0.8229345646169458	0.4236853693348911	0.37085356531090236
Lgain-Neut	4.0	opt1	FixMod	0.549434615759029	0.8168401212880673	0.4211942550540815	0.36528204424752336
Lgain-Neut	4.0	opt2	CueMod	0.4963904993454273	0.8420945973922503	0.3874352839694364	0.3502292167791891
Lgain-Neut	4.0	opt2	AntMod	0.5384420763480178	0.8414959894481665	0.40574798049835065	0.36444419568627207
Lgain-Neut	4.0	opt2	FixMod	0.5620582936856205	0.8367805324326317	0.41340100951592884	0.37157526840198524
Lgain-Neut	4.0	opt3	CueMod	0.40746170197170706	0.8506973203786172	0.21395306943487916	0.21946373989446882
Lgain-Neut	4.0	opt3	AntMod	0.40777791073351677	0.8534156210955013	0.2517744954682563	0.24534897959999977
Lgain-Neut	4.0	opt3	FixMod	0.401949860724234	0.8550970352419238	0.2572838232134416	0.24741499039861709
Lgain-Neut	4.0	opt4	CueMod	0.4077934849416104	0.8487960751547567	0.21502453349434672	0.22372818173219697
Lgain-Neut	4.0	opt4	AntMod	0.40909200997844464	0.8514332956706758	0.2474244225956787	0.24547550547263663
Lgain-Neut	4.0	opt4	FixMod	0.3978469349379466	0.853093111670675	0.2530958293520204	0.24602507801699386
Lgain-Neut	5.0	opt1	CueMod	0.5288194191338033	0.8385287526628069	0.40500483894122025	0.3451381378821346
Lgain-Neut	5.0	opt1	AntMod	0.5750535582032279	0.829397944595882	0.41112114323242827	0.3462495949852914
Lgain-Neut	5.0	opt1	FixMod	0.6170004932444848	0.8208672420951527	0.4053945277618408	0.3351620782896192
Lgain-Neut	5.0	opt2	CueMod	0.5546063132270028	0.8563549054147761	0.38187964006450686	0.3370774890674364
Lgain-Neut	5.0	opt2	AntMod	0.6038607786614023	0.8532764101316602	0.39634364248446025	0.3462331596385636
Lgain-Neut	5.0	opt2	FixMod	0.6343650501418702	0.8469589715096778	0.40385410917315506	0.35142324240631856
Lgain-Neut	5.0	opt3	CueMod	0.4499318801089919	0.884018369956363	0.2225904726722365	0.22479539003206928
Lgain-Neut	5.0	opt3	AntMod	0.4481331236029472	0.8864806522024768	0.2644209061267747	0.25356215555688316
Lgain-Neut	5.0	opt3	FixMod	0.4432015313752467	0.8877423448550984	0.2687800954303664	0.2543500641144645
Lgain-Neut	5.0	opt4	CueMod	0.4535354405305314	0.8824355519054982	0.2264402819962906	0.23154647469033365
Lgain-Neut	5.0	opt4	AntMod	0.453567074452432	0.8847324309587774	0.26250859808124727	0.25604347821237977
Lgain-Neut	5.0	opt4	FixMod	0.44492392471484427	0.8859066707639754	0.26698443216320883	0.25567876271471807
Lgain-Neut	6.0	opt1	CueMod	0.5803848479741452	0.8458465141684081	0.39831965284317467	0.3310372751125678
Lgain-Neut	6.0	opt1	AntMod	0.6328246026737047	0.833289432548991	0.39988293798534763	0.3247173570824077
