con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.805	0.624
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.641	0.476
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.52	0.371
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.435	0.301
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.379	0.258
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	1.344	1.049
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	1.065	0.804
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.857	0.63
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.707	0.511
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.602	0.433
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	1.663	1.471
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	1.375	1.188
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	1.171	0.985
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	1.03	0.847
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.935	0.756
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.567	0.542
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.444	0.417
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.359	0.332
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.305	0.278
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.273	0.247
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	1.112	0.884
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.869	0.668
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.692	0.516
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.569	0.414
contrast-Lgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.487	0.35
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	1.324	1.366
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	1.071	1.091
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.897	0.902
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.783	0.777
contrast-Lgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.711	0.696
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.455	0.445
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.346	0.329
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.271	0.248
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.22	0.194
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.187	0.159
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.853	0.715
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.641	0.513
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.49	0.372
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.386	0.277
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.316	0.215
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	0.969	1.075
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	0.742	0.816
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.587	0.636
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.483	0.514
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.413	0.432
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.454	0.453
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.344	0.332
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.267	0.249
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.216	0.194
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.182	0.158
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	0.861	0.707
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	0.643	0.499
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.488	0.356
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.381	0.261
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.309	0.2
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	0.997	1.099
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	0.76	0.83
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	0.597	0.643
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.489	0.515
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.416	0.429
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.09	0.103
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.069	0.079
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.055	0.062
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.046	0.051
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.04	0.044
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.268	0.302
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.206	0.23
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.163	0.179
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.134	0.146
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.116	0.125
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.466	0.499
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.36	0.383
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.289	0.303
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.241	0.25
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.21	0.216
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.091	0.096
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.07	0.074
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.055	0.059
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.046	0.048
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.04	0.042
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.266	0.283
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.204	0.215
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.161	0.169
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.133	0.137
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.114	0.117
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.456	0.478
