seed	subsample_n	icc_supra	icc_sub	msbtwn_supra	msbtwn_sub	mswthn_supra	mswthn_sub
2387	25	0.077	0.156	0.054	0.13	0.725	0.883
2387	75	0.375	0.348	0.386	0.465	0.642	0.822
2387	125	0.274	0.255	0.245	0.306	0.642	0.851
2387	175	0.354	0.307	0.362	0.451	0.669	0.916
2387	225	0.337	0.275	0.31	0.336	0.633	0.882
2387	275	0.294	0.282	0.29	0.394	0.717	0.972
2387	325	0.333	0.309	0.332	0.444	0.676	0.907
2387	375	0.376	0.326	0.354	0.462	0.607	0.862
2387	425	0.322	0.291	0.313	0.412	0.67	0.904
2387	475	0.376	0.331	0.349	0.476	0.582	0.822
2387	525	0.363	0.32	0.376	0.484	0.68	0.908
7529	25	0.328	0.269	0.273	0.273	0.59	0.831
7529	75	0.407	0.336	0.359	0.403	0.57	0.84
7529	125	0.344	0.312	0.326	0.422	0.65	0.919
7529	175	0.417	0.369	0.412	0.497	0.581	0.792
7529	225	0.317	0.286	0.365	0.447	0.8	1.078
7529	275	0.301	0.298	0.3	0.44	0.698	0.932
7529	325	0.31	0.283	0.335	0.423	0.771	1.014
7529	375	0.367	0.313	0.356	0.446	0.633	0.89
7529	425	0.357	0.304	0.313	0.393	0.583	0.789
7529	475	0.33	0.296	0.326	0.443	0.67	0.903
7529	525	0.363	0.323	0.345	0.453	0.609	0.856
7454	25	0.398	0.335	0.367	0.355	0.583	0.908
7454	75	0.443	0.352	0.342	0.347	0.452	0.622
7454	125	0.433	0.357	0.457	0.486	0.606	0.886
7454	175	0.368	0.32	0.384	0.443	0.688	0.912
7454	225	0.257	0.249	0.244	0.339	0.735	0.991
7454	275	0.321	0.305	0.32	0.434	0.658	0.911
7454	325	0.339	0.298	0.386	0.466	0.767	1.069
7454	375	0.299	0.283	0.289	0.392	0.687	0.937
7454	425	0.344	0.306	0.359	0.432	0.691	0.905
7454	475	0.36	0.319	0.342	0.433	0.63	0.867
7454	525	0.319	0.294	0.313	0.412	0.686	0.931
