con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	-0.055	-0.076
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	-0.027	-0.045
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	-0.012	-0.023
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	-0.001	-0.007
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.006	0.005
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.07	-0.015
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.043	-0.004
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.026	0.002
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.015	0.006
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.008	0.009
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.016	0.019
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.025	0.03
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.038	0.035
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.05	0.039
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.059	0.044
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	-0.074	-0.022
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	-0.045	-0.012
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	-0.028	-0.004
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	-0.018	0.004
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	-0.01	0.009
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	-0.003	0.16
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	-0.001	0.122
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.006	0.097
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.013	0.083
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.019	0.075
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.015	0.019
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.025	0.016
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.033	0.014
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.04	0.015
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.045	0.019
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.035	0.023
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.029	0.022
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.024	0.02
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.019	0.018
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.015	0.016
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.147	0.103
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.125	0.091
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.102	0.08
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.081	0.07
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.065	0.06
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.078	0.059
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.061	0.048
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.045	0.04
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.033	0.032
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.024	0.026
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.025	0.03
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.021	0.029
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.017	0.027
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.015	0.026
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.012	0.024
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.084	0.087
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.074	0.076
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.061	0.069
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.05	0.064
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.043	0.059
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.086	0.103
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.067	0.092
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.051	0.083
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.04	0.074
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.033	0.065
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	-0.032	-0.021
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	-0.007	-0.005
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.008	0.008
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.016	0.016
