con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.005	-0.012
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.03	-0.01
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.056	-0.003
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.086	0.008
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.119	0.026
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.082	0.036
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.095	0.057
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.104	0.078
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.112	0.097
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.119	0.114
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	-0.006	0.042
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.01	0.046
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.042	0.044
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.085	0.04
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.132	0.042
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	-0.074	0.021
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	-0.077	0.034
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	-0.073	0.044
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	-0.064	0.05
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	-0.049	0.053
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.017	0.069
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.009	0.083
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	-0.0	0.089
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	-0.008	0.089
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	-0.011	0.09
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	-0.021	0.048
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	-0.008	0.069
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.017	0.083
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.051	0.09
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.09	0.095
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.083	0.022
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.099	0.045
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.107	0.069
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.107	0.088
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.101	0.102
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.072	0.028
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.095	0.05
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.11	0.074
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.116	0.093
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.115	0.106
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.081	0.017
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.085	0.027
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.078	0.037
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.065	0.044
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.051	0.046
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.074	0.018
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.087	0.06
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.091	0.113
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.09	0.162
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.085	0.201
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.058	0.014
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.071	0.036
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.075	0.066
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.071	0.097
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.063	0.123
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.082	0.041
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.096	0.081
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.099	0.128
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.095	0.169
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.088	0.199
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.009	-0.014
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.031	-0.005
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.057	0.008
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.082	0.023
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.108	0.038
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.087	0.114
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.103	0.143
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.121	0.165
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.141	0.179
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.166	0.19
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.028	0.009
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.057	0.026
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.097	0.045
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.136	0.059
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.169	0.066
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	-0.069	-0.017
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	-0.075	-0.012
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	-0.072	-0.005
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	-0.064	-0.001
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	-0.054	-0.001
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.029	0.033
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.025	0.036
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.024	0.038
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.026	0.04
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.033	0.047
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	-0.006	0.022
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.014	0.037
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.047	0.053
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.083	0.06
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.114	0.058
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.022	0.01
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.021	0.013
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.03	0.014
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.045	0.02
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.064	0.032
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.061	0.043
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.077	0.047
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.099	0.048
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.121	0.058
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.136	0.079
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	-0.02	-0.009
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	-0.034	-0.003
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	-0.043	0.006
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	-0.041	0.015
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	-0.031	0.022
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.011	0.003
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.016	0.014
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.021	0.024
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.027	0.047
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.034	0.078
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.062	0.008
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.088	0.014
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.11	0.024
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.126	0.045
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.133	0.079
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	-0.036	-0.018
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	-0.048	-0.004
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	-0.056	0.019
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	-0.055	0.048
