mask	con	motion	model	fwhm	median_est
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.081
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.102
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.122
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.137
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.151
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.205
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.239
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.266
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.287
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.304
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.139
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.17
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.198
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.221
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.241
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.079
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.099
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.117
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.132
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.144
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.206
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.242
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.272
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.295
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.312
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.142
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.173
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.202
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.225
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.246
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.024
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.024
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.023
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.021
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.02
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.014
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.011
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.007
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.002
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	-0.003
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.032
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.036
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.04
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.044
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.047
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.024
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.027
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.03
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.032
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.034
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.01
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.008
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.005
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.001
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	-0.002
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.031
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.039
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.046
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.053
MNI152_wilson-sub	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.059
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.079
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.098
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.115
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.129
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.14
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.22
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.258
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.287
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.308
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.324
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.12
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.145
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.165
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.182
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.196
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.072
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.089
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.103
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.115
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.124
MNI152_wilson-sub	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.21
