con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	1.627	1.632
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.99	0.946
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.669	0.61
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.49	0.43
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.382	0.326
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	2.02	2.096
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	1.208	1.28
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.804	0.876
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.585	0.652
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.454	0.516
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	1.641	1.755
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.985	1.024
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.655	0.663
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.469	0.468
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.356	0.355
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	1.73	1.687
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	1.058	0.981
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.715	0.632
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.522	0.445
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.404	0.334
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	2.102	2.145
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	1.229	1.275
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.793	0.841
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.554	0.601
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.414	0.454
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	1.557	1.681
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.91	0.963
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.591	0.614
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.418	0.427
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.314	0.32
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.415	0.487
