mask	con	motion	model	fwhm	median_est
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	1.028
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.687
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.513
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.416
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.356
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	1.247
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.804
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.58
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.458
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.382
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	1.098
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.726
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.537
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.433
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.369
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	1.01
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.662
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.489
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.392
MNI152_wilson-sub	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.332
