con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.04	0.004
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.04	0.017
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.037	0.02
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.033	0.018
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.03	0.016
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.051	0.035
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.034	0.033
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.024	0.026
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.018	0.019
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.016	0.014
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	-0.002	-0.005
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	-0.002	0.001
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	-0.001	0.003
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.001	0.004
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.004	0.004
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.018	-0.046
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.019	-0.03
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.019	-0.021
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.019	-0.016
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.019	-0.012
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.027	0.059
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.018	0.046
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.015	0.033
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.015	0.023
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.016	0.017
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.013	-0.023
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.008	-0.012
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.007	-0.007
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.008	-0.003
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.01	-0.0
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.008	0.009
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.007	0.009
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.008	0.01
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.009	0.01
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.009	0.01
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.035	0.049
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.031	0.043
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.033	0.041
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.036	0.041
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.038	0.04
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.025	0.007
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.021	0.015
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.021	0.019
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.022	0.021
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.022	0.023
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.016	0.01
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.013	0.011
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.012	0.011
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.012	0.01
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.011	0.01
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.057	0.053
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.05	0.052
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.047	0.05
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.044	0.047
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.042	0.044
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.038	-0.0
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.032	0.009
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.029	0.013
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.027	0.015
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.025	0.016
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.05	0.011
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.043	0.021
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.036	0.023
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.031	0.021
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.026	0.019
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.059	0.017
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.03	0.016
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.015	0.015
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.009	0.013
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.008	0.013
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.024	-0.012
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.012	-0.008
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.003	-0.004
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	-0.002	-0.001
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	-0.005	-0.0
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.047	-0.026
