con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.038	-0.018
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.057	0.01
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.071	0.027
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.083	0.033
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.091	0.033
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.102	0.051
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.12	0.071
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.122	0.079
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.12	0.084
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.118	0.091
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	-0.001	-0.019
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.01	-0.001
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.03	0.015
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.052	0.027
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.075	0.036
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.034	-0.066
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.048	-0.062
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.062	-0.058
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.076	-0.056
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.088	-0.052
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.076	0.033
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.09	0.04
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.092	0.038
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.094	0.034
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.099	0.034
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.027	-0.024
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.042	-0.015
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.06	-0.003
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.079	0.01
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.099	0.027
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.069	0.015
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.086	0.042
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.109	0.074
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.134	0.111
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.159	0.151
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.079	0.083
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.103	0.121
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.134	0.159
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.167	0.195
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.198	0.232
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.031	-0.057
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.037	-0.049
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.047	-0.031
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.058	-0.005
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.072	0.025
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.089	0.026
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.122	0.064
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.156	0.102
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.188	0.141
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.215	0.18
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.095	0.069
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.131	0.113
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.167	0.156
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.201	0.195
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.229	0.23
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.047	-0.029
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.067	-0.011
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.087	0.012
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.103	0.036
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.118	0.063
