mask	con	motion	model	fwhm	median_est
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.078
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.092
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.102
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.109
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.113
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.234
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.274
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.302
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.321
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.333
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.198
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.234
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.261
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.279
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.291
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.068
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.079
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.087
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.09
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.091
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.237
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.278
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.307
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.326
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.338
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.198
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.236
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.264
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.283
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.295
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.094
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.118
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.14
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.158
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.172
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.09
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.113
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.133
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.148
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.16
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.084
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.107
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.127
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.144
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.159
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.078
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.099
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.119
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.134
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.147
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.078
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.099
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.118
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.134
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.147
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.07
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.087
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.103
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.116
MNI152_wilson-supra	contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.126
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.082
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.096
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.106
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.113
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.117
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.241
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.281
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.31
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.329
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.342
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.173
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.204
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.226
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.24
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.249
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.078
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.091
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.101
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.107
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.111
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.244
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.286
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.316
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.335
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.346
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.178
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.211
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.236
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.254
MNI152_wilson-supra	contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.266
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.052
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.064
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.075
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.083
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.09
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.051
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.062
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.071
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.079
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.086
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.036
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.045
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.053
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.058
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.062
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.043
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.052
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.062
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.069
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.075
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.045
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.054
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.063
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.071
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.078
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.031
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.039
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.046
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.052
MNI152_wilson-supra	contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.058
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.09
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.107
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.12
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.132
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.142
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.22
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.253
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.276
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.292
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.301
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.161
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.188
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.209
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.227
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.241
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.098
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.122
MNI152_wilson-supra	contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.14
