con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	3.6	opt1	CueMod	0.17273214149090818	0.5713362953109737	0.17822902368785426	0.14914137511512107
Lgain-Neut	3.6	opt1	AntMod	0.18279695728496195	0.578050099943985	0.22614309505862415	0.20558203878889958
Lgain-Neut	3.6	opt1	FixMod	0.17987872576650438	0.569115764919707	0.21521351739854336	0.22435900633754216
Lgain-Neut	3.6	opt2	CueMod	0.23456487480301175	0.6564876706568797	0.26552418809379486	0.26507089683801466
Lgain-Neut	3.6	opt2	AntMod	0.2626637301495306	0.6771982109321604	0.28883890760194214	0.29643927955277627
Lgain-Neut	3.6	opt2	FixMod	0.25372775372775375	0.6648049891853233	0.2618075784914982	0.27060438044710466
Lgain-Neut	3.6	opt3	CueMod	0.21088396199251366	0.6622238153850295	0.20753134180797336	0.17608079670787766
Lgain-Neut	3.6	opt3	AntMod	0.22053415908651053	0.680351873644702	0.20734773380099314	0.1994303522738078
Lgain-Neut	3.6	opt3	FixMod	0.18100708069360108	0.6624641986500169	0.1735562607692382	0.19059973110226583
Lgain-Neut	3.6	opt4	CueMod	0.23017701895883524	0.6823960726399096	0.20190412507754296	0.17842074667299992
Lgain-Neut	3.6	opt4	AntMod	0.24776912027162323	0.7005911964206839	0.20044009794279394	0.18038786146473396
Lgain-Neut	3.6	opt4	FixMod	0.21707859810855915	0.6798594362426537	0.18201761718691795	0.17666824961849437
Lgain-Neut	4.8	opt1	CueMod	0.2007096917276558	0.5918234710721906	0.14665490904527193	0.1151950703987485
Lgain-Neut	4.8	opt1	AntMod	0.2175752687461159	0.5885539957300356	0.20376051580847757	0.191243229688952
Lgain-Neut	4.8	opt1	FixMod	0.22281359906213363	0.5784389226934369	0.18873070342402906	0.22661850914917342
Lgain-Neut	4.8	opt2	CueMod	0.29708776712140345	0.6974362254893426	0.2535688683138892	0.25373628223448236
Lgain-Neut	4.8	opt2	AntMod	0.3321105148415227	0.7180457240016481	0.2687511136951316	0.2868215987910109
Lgain-Neut	4.8	opt2	FixMod	0.32821262870371265	0.7034907266393023	0.22925019428821353	0.2529331962983627
Lgain-Neut	4.8	opt3	CueMod	0.27384198897227147	0.7189703697997334	0.20828519966043596	0.17040579394062574
Lgain-Neut	4.8	opt3	AntMod	0.2836924340697894	0.7357270205691872	0.20250647099444394	0.19298017696327122
Lgain-Neut	4.8	opt3	FixMod	0.23703965244623204	0.715965143753276	0.15500649659248472	0.1751051124788338
Lgain-Neut	4.8	opt4	CueMod	0.309964380308704	0.7436328045020411	0.21180390661861845	0.1815714770898597
Lgain-Neut	4.8	opt4	AntMod	0.32378401943077784	0.7595532157890986	0.2026818687171154	0.17504270481275028
Lgain-Neut	4.8	opt4	FixMod	0.2889165452771217	0.7378478963020464	0.16928298324433272	0.16021284461495783
Lgain-Neut	6.0	opt1	CueMod	0.22569616026711184	0.5974720077747943	0.11207389134407364	0.07979009453517026
Lgain-Neut	6.0	opt1	AntMod	0.24627722874734828	0.5813266958470231	0.17457715688295083	0.178744281707833
Lgain-Neut	6.0	opt1	FixMod	0.25427504542093105	0.5717146093052998	0.15432897433446915	0.2333531368884302
Lgain-Neut	6.0	opt2	CueMod	0.34305488878220514	0.7237674937449314	0.2332491571908081	0.23215625812948384
Lgain-Neut	6.0	opt2	AntMod	0.3848596781726319	0.7444191713346193	0.2372451957907653	0.2690323571022284
Lgain-Neut	6.0	opt2	FixMod	0.3854821097941162	0.7280405156692287	0.1838170318422572	0.23004000093059523
Lgain-Neut	6.0	opt3	CueMod	0.3224228214146151	0.7566679133749626	0.20406200116971043	0.16293094516739012
Lgain-Neut	6.0	opt3	AntMod	0.3298489492119089	0.7722599431505863	0.19157173304173566	0.18403900927365954
Lgain-Neut	6.0	opt3	FixMod	0.2736310004946374	0.7507224949468572	0.12697271393239262	0.15484385210257343
Lgain-Neut	6.0	opt4	CueMod	0.37025073511305523	0.7832446369739199	0.21409257749074087	0.18169195304233102
Lgain-Neut	6.0	opt4	AntMod	0.3806300117409008	0.7979562766164094	0.19586034928673962	0.16673262828824237
Lgain-Neut	6.0	opt4	FixMod	0.34685492474973323	0.7763643430776744	0.14257462771909982	0.13865019936972495
Lgain-Neut	7.2	opt1	CueMod	0.24506406456613924	0.5980008342825807	0.08787587941369121	0.05307812842895623
Lgain-Neut	7.2	opt1	AntMod	0.26728472658705216	0.5665259920700519	0.1506514786343536	0.17354835681879888
Lgain-Neut	7.2	opt1	FixMod	0.2736215933719661	0.5580808905362822	0.12174380302960472	0.2450290182239168
Lgain-Neut	7.2	opt2	CueMod	0.3779261329331194	0.7442515705549091	0.2131770851787614	0.2090297703262831
Lgain-Neut	7.2	opt2	AntMod	0.42622938767708396	0.7641196567888063	0.20724385662004685	0.2518089525143629
Lgain-Neut	7.2	opt2	FixMod	0.4333512774856102	0.7449064248628484	0.1399418895832726	0.209913658958826
Lgain-Neut	7.2	opt3	CueMod	0.35580385511544166	0.783028511443418	0.20399928569278572	0.1593221519991101
Lgain-Neut	7.2	opt3	AntMod	0.36273470006177083	0.7975386103350547	0.18473114154303155	0.18019350540475504
Lgain-Neut	7.2	opt3	FixMod	0.3035317261093637	0.7749742055350298	0.09976870882634165	0.13821809781629935
