con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-3.6	0.623	0.634
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	0.379	0.389
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.262	0.273
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.199	0.21
contrast-Lgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.162	0.173
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	1.019	0.91
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.613	0.543
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.415	0.371
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.306	0.281
contrast-Lgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.24	0.229
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.814	0.78
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.519	0.492
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.376	0.355
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.295	0.281
contrast-Lgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.243	0.236
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.616	0.658
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.366	0.4
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.247	0.276
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.182	0.21
contrast-Lgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.144	0.169
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.987	0.86
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.584	0.5
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.391	0.333
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.286	0.249
contrast-Lgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.223	0.202
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.753	0.757
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.463	0.46
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.322	0.316
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.243	0.237
contrast-Lgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.195	0.19
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.2	0.177
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.124	0.109
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.085	0.077
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.063	0.058
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.049	0.047
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.76	0.604
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.469	0.371
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.32	0.259
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.234	0.196
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.18	0.156
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.594	0.59
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.362	0.363
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.248	0.252
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.184	0.19
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.145	0.15
